                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     66,                 2.2238,                0.98377,                 2.4316,                0.92464,                0.84095,                0.89907,                0.52834,                 3.0281,                 1.3851,                 3.3436,               0.003565,               0.003565,               0.003565
                     67,                 2.2021,                0.97139,                 2.4028,                0.92569,                0.84333,                0.90057,                0.53126,                 3.0309,                 1.3839,                 3.3328,               0.003466,               0.003466,               0.003466
                     68,                 2.1916,                0.97466,                 2.4058,                0.92539,                0.84136,                0.89996,                0.52865,                 3.0415,                 1.3902,                 3.3354,               0.003367,               0.003367,               0.003367
                     69,                  2.181,                0.96264,                 2.4051,                0.92547,                0.84377,                0.89966,                0.52559,                 3.0489,                 1.4104,                 3.3506,               0.003268,               0.003268,               0.003268
                     70,                 2.1669,                0.94915,                  2.405,                0.93109,                0.83763,                0.89824,                0.52394,                  3.055,                 1.4169,                 3.3763,               0.003169,               0.003169,               0.003169
                     71,                 2.1446,                0.94309,                 2.3913,                 0.9256,                0.84064,                0.89806,                0.52369,                 3.0584,                 1.4213,                 3.3961,                0.00307,                0.00307,                0.00307
                     72,                  2.125,                0.93557,                 2.3792,                0.92396,                0.83992,                0.89814,                0.52404,                 3.0599,                 1.4213,                 3.4082,               0.002971,               0.002971,               0.002971
                     73,                 2.1064,                 0.9356,                 2.3618,                0.93595,                0.83305,                0.89848,                0.52533,                 3.0623,                 1.4218,                 3.4125,               0.002872,               0.002872,               0.002872
                     74,                 2.0815,                0.91863,                 2.3467,                0.92137,                0.84317,                 0.8983,                  0.525,                 3.0705,                 1.4256,                   3.42,               0.002773,               0.002773,               0.002773
                     75,                 2.0822,                0.91632,                  2.332,                0.93539,                 0.8318,                0.89823,                0.52337,                 3.0768,                  1.422,                 3.4173,               0.002674,               0.002674,               0.002674
