                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     48,                 2.1687,                0.85267,                 2.4237,                0.95154,                0.91785,                0.96812,                0.67383,                 2.3493,                0.91248,                 2.9184,               0.005347,               0.005347,               0.005347
                     49,                 2.1457,                0.83427,                 2.3801,                0.94914,                0.91339,                 0.9668,                0.67906,                 2.3048,                0.91327,                 2.8034,               0.005248,               0.005248,               0.005248
                     50,                 2.1324,                0.83335,                 2.3697,                0.95263,                0.91323,                0.96811,                0.67511,                 2.3212,                0.91628,                 2.7784,               0.005149,               0.005149,               0.005149
                     51,                  2.131,                0.82911,                 2.3823,                0.95925,                0.91298,                0.96884,                0.67837,                 2.3362,                0.91317,                 2.8516,                0.00505,                0.00505,                0.00505
                     52,                 2.1254,                0.82753,                 2.3665,                0.96165,                  0.904,                  0.969,                0.67997,                 2.3404,                0.90993,                 2.8192,               0.004951,               0.004951,               0.004951
                     53,                 2.1115,                0.81557,                 2.3727,                0.95644,                0.91171,                0.96974,                0.67837,                 2.3331,                0.89909,                  2.811,               0.004852,               0.004852,               0.004852
                     54,                 2.0946,                0.82633,                 2.3772,                0.96067,                0.91794,                0.97254,                0.67936,                 2.3608,                0.87511,                 2.8977,               0.004753,               0.004753,               0.004753
                     55,                  2.092,                0.81463,                 2.3891,                0.95716,                0.92038,                0.97227,                0.67775,                 2.3666,                0.88036,                 2.9428,               0.004654,               0.004654,               0.004654
                     56,                 2.0903,                 0.8057,                 2.3703,                0.95633,                0.91794,                 0.9697,                0.67148,                 2.3839,                0.89629,                 2.9529,               0.004555,               0.004555,               0.004555
                     57,                 2.0592,                0.79722,                 2.3335,                0.95649,                0.91626,                0.96937,                0.66856,                 2.3926,                0.90419,                 2.9208,               0.004456,               0.004456,               0.004456
                     58,                 2.0603,                0.79858,                 2.3579,                0.95348,                 0.9146,                0.96838,                0.67032,                 2.3752,                0.90868,                 2.9271,               0.004357,               0.004357,               0.004357
                     59,                 2.0522,                0.78891,                 2.3407,                0.95423,                0.91419,                0.96886,                0.67298,                 2.3733,                0.90159,                 2.9335,               0.004258,               0.004258,               0.004258
                     60,                 2.0314,                0.79091,                 2.3242,                0.95441,                0.91219,                0.96711,                0.66861,                 2.3914,                0.91736,                 2.9396,               0.004159,               0.004159,               0.004159
                     61,                 2.0412,                0.78486,                 2.3363,                0.94883,                0.91354,                0.96607,                0.67025,                 2.3741,                0.92464,                 2.9222,                0.00406,                0.00406,                0.00406
                     62,                 2.0167,                0.77648,                 2.3264,                0.95143,                0.91542,                0.96663,                0.67271,                 2.3687,                0.92468,                 2.9335,               0.003961,               0.003961,               0.003961
                     63,                 2.0095,                 0.7736,                 2.3114,                0.95365,                0.91243,                0.96721,                0.67475,                 2.3507,                0.91595,                 2.9012,               0.003862,               0.003862,               0.003862
                     64,                 1.9821,                0.76711,                 2.2903,                0.95691,                 0.9094,                0.96703,                0.67793,                  2.343,                0.91258,                 2.8758,               0.003763,               0.003763,               0.003763
                     65,                   1.98,                0.76606,                 2.3149,                0.95862,                0.90918,                0.96721,                0.68049,                 2.3328,                0.91079,                 2.8818,               0.003664,               0.003664,               0.003664
